Team/Division Name,Active Users,Enabled Users,Total Actions,Monthly Actions,Engagement %,EAPs Used,Total EAPs,Daily Average Actions,Peak Week,Power Users
Team A,45,50,25340,10890,90%,8,10,123,Week 23,12
Team B,32,40,18920,8123,80%,6,10,98,Week 21,8
Team C,28,35,16780,7210,80%,7,10,87,Week 22,7
Team D,25,30,14560,6255,83%,5,10,75,Week 20,5
Team E,18,20,10234,4398,90%,6,10,53,Week 24,4
Team F,15,18,8920,3832,83%,4,10,46,Week 19,3
Team G,22,25,12450,5350,88%,7,10,64,Week 23,6
Team H,20,22,11680,5020,91%,8,10,60,Week 22,5
Team I,12,15,7890,3390,80%,5,10,41,Week 21,3
Team J,8,10,5670,2436,80%,6,10,29,Week 20,2
